municipality_id,municipality_name,disease_code,week_start,iso_year,iso_week,case_count,barangay_count_reporting,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19,cases_lag_20,cases_lag_21,cases_lag_22,cases_lag_23,cases_lag_24,cases_lag_25,cases_lag_26,cases_rolling_4wk,cases_rolling_8wk,week_sin,week_cos,month,is_peak_season,temp_mean_c,temp_min_c,temp_max_c,humidity_mean_pct,rainfall_sum_mm,temp_mean_c_lag_1,temp_mean_c_lag_2,temp_mean_c_lag_3,humidity_mean_pct_lag_1,rainfall_sum_mm_lag_4,rainfall_sum_mm_lag_6,rainfall_sum_mm_lag_8,env_reports,pct_stagnant_water,pct_recent_heavy_rain,pct_indoor_crowding,pct_unimproved_water,pct_open_defecation,pct_flood_history,pct_drought_history,env_reports_4wk,pct_stagnant_water_4wk,pct_recent_heavy_rain_4wk,pct_indoor_crowding_4wk,pct_unimproved_water_4wk,pct_open_defecation_4wk,pct_flood_history_4wk,pct_drought_history_4wk,cases_t_plus_1,cases_t_plus_2,cases_t_plus_3,cases_t_plus_4,split
1,Compostela,AWD,2023-01-02,2023,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1205,0.9927,1,0,24.8143,22,31.6000,89.1429,150.7000,24,,,92,,,,9,0.3333,0.8889,0.3333,0.3333,0,0,0.5556,9,0.3333,0.8889,0.3333,0.3333,0,0,0.5556,2,4,2,4,train
1,Compostela,AWD,2023-01-09,2023,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.2393,0.9709,1,0,24.9857,22.4000,30,88.4286,97.4000,24.8143,24,,89.1429,,,,15,0.3333,0.6000,0.4667,0.4667,0.1333,0.0667,0.2000,24,0.3333,0.7083,0.4167,0.4167,0.0833,0.0417,0.3333,4,2,4,0,train
1,Compostela,AWD,2023-01-16,2023,3,4,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.3546,0.9350,1,0,25.3143,20.8000,31.3000,85.8571,94.7000,24.9857,24.8143,24,88.4286,,,,8,0.5000,0.8750,0.7500,0.1250,0.1250,0.6250,0,32,0.3750,0.7500,0.5000,0.3438,0.0938,0.1875,0.2500,2,4,0,4,train
1,Compostela,AWD,2023-01-23,2023,4,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.4647,0.8855,1,0,25.0286,22.3000,31.7000,87,90.1000,25.3143,24.9857,24.8143,85.8571,17.7000,,,8,0.2500,0.7500,0.2500,0.2500,0.1250,0.7500,0,40,0.3500,0.7500,0.4500,0.3250,0.1000,0.3000,0.2000,4,0,4,2,train
1,Compostela,AWD,2023-01-30,2023,5,4,3,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0.5681,0.8230,1,0,25.5000,21.3000,31.3000,84.7143,37.2000,25.0286,25.3143,24.9857,87,150.7000,,,14,0.3571,0.5000,0.2857,0.0714,0.2143,0.7857,0,45,0.3556,0.6444,0.4222,0.2444,0.1556,0.5111,0.0667,0,4,2,1,train
1,Compostela,AWD,2023-02-06,2023,6,0,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0.6631,0.7485,2,0,25.3857,21.2000,31.2000,83.5714,18.3000,25.5000,25.0286,25.3143,84.7143,97.4000,17.7000,,4,0.2500,0.7500,0.2500,0.2500,0.2500,0,0.2500,34,0.3529,0.6765,0.3824,0.1471,0.1765,0.6471,0.0294,4,2,1,1,train
1,Compostela,AWD,2023-02-13,2023,7,4,3,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0.7485,0.6631,2,0,24.9143,21.6000,29.7000,87.1429,164,25.3857,25.5000,25.0286,83.5714,94.7000,150.7000,,12,0.4167,0.9167,0.3333,0.2500,0.4167,0.3333,0.2500,38,0.3421,0.7105,0.2895,0.1842,0.2632,0.5526,0.1053,2,1,1,3,train
1,Compostela,AWD,2023-02-20,2023,8,2,2,4,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0.8230,0.5681,2,0,26.0286,21.8000,32.1000,83.4286,46.1000,24.9143,25.3857,25.5000,87.1429,90.1000,97.4000,17.7000,7,0.2857,0.5714,0.5714,0.1429,0.1429,0.1429,0,37,0.3514,0.6757,0.3514,0.1622,0.2703,0.4324,0.1081,1,1,3,1,train
1,Compostela,AWD,2023-02-27,2023,9,1,1,2,4,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0.8855,0.4647,2,0,25.7143,19.8000,31.3000,81.4286,40.1000,26.0286,24.9143,25.3857,83.4286,37.2000,94.7000,150.7000,5,0.6000,0.4000,0.4000,0.2000,0,0.2000,0.2000,28,0.3929,0.7143,0.3929,0.2143,0.2500,0.2143,0.1786,1,3,1,2,train
1,Compostela,AWD,2023-03-06,2023,10,1,1,1,2,4,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0.9350,0.3546,3,0,25.7143,19.8000,31.9000,82,19.1000,25.7143,26.0286,24.9143,81.4286,18.3000,90.1000,97.4000,7,0.5714,0.4286,0.7143,0.2857,0.1429,0.1429,0,31,0.4516,0.6452,0.4839,0.2258,0.2258,0.2258,0.1290,3,1,2,1,train
