barangay_id,barangay_name,municipality,DENGUE,ILI,AWD,total
348,Magnaga,Pantukan,38,46,56,140
351,P. Fuentes,Pantukan,51,43,45,139
347,Las Arenas,Pantukan,39,60,40,139
354,Tambongon,Pantukan,29,63,44,136
353,Tagdangua,Pantukan,41,48,47,136
32,Bagong Silang,Maragusan,19,62,54,135
344,Bongabong,Pantukan,47,46,39,132
350,Napnapan,Pantukan,44,48,40,132
352,Tag-ugpo,Pantukan,42,47,40,129
355,Tibagon,Pantukan,37,59,33,129
36,Katipunan,Maragusan,20,52,51,123
34,Cambagang,Maragusan,21,62,39,122
260,Tagnanan (Mabini),Mabini,31,42,47,120
46,New Katipunan,Maragusan,22,46,50,118
41,Mahayahay,Maragusan,29,46,43,118
42,Mapawa,Maragusan,21,45,51,117
33,Bahi,Maragusan,18,52,46,116
258,Poblacion,Mabini,44,36,36,116
346,Kingking (Poblacion),Pantukan,28,42,45,115
35,Coronobe,Maragusan,32,44,38,114
349,Matiao,Pantukan,34,34,45,113
37,Lahi,Maragusan,19,52,40,111
132,Kahayag,New Bataan,23,49,38,110
345,Bongbong,Pantukan,34,38,37,109
253,Cuambog,Mabini,30,31,46,107
261,Del Pilar,Mabini,42,35,30,107
45,New Albay,Maragusan,21,47,39,107
49,Paloc,Maragusan,19,48,39,106
40,Magcagong,Maragusan,25,47,34,106
51,Parasanon,Maragusan,16,57,32,105
47,New Manay,Maragusan,26,45,34,105
48,New Panay,Maragusan,24,48,32,104
55,Tupaz,Maragusan,21,46,37,104
343,Araibo,Pantukan,38,33,29,100
254,Golden Valley (Maraut),Mabini,40,33,27,100
334,Poblacion,Mawab,34,29,36,99
255,Libodon,Mabini,43,26,30,99
252,Cadunan,Mabini,39,40,20,99
257,Pindasan,Mabini,39,27,33,99
250,Anitapan,Mabini,34,34,30,98
134,Magangit,New Bataan,32,36,29,97
259,San Antonio,Mabini,34,29,32,95
331,Malinawon,Mawab,35,37,23,95
39,Mabugnao,Maragusan,20,37,36,93
6,Mapaca,Compostela,34,38,21,93
4,Lagab,Compostela,20,49,23,92
56,Tupaz Proper,Maragusan,20,41,31,92
336,Saosao,Mawab,32,39,21,92
52,Talian,Maragusan,15,39,38,92
77,Rizal,Monkayo,40,20,31,91
54,Tigbao,Maragusan,17,37,37,91
332,Nueva Visayas,Mawab,40,31,19,90
53,Tandik,Maragusan,24,28,38,90
256,Pangibiran,Mabini,33,38,18,89
139,San Roque,New Bataan,28,34,27,89
44,Mauswagon,Maragusan,19,34,36,89
75,Pasian,Monkayo,34,28,27,89
95,Banglasan,Montevista,42,26,21,89
251,Cabuyuan,Mabini,30,24,33,87
43,Maragusan (Poblacion),Maragusan,14,40,33,87
79,San Isidro,Monkayo,34,18,35,87
125,Andap,New Bataan,21,31,35,87
333,Nuevo Iloco,Mawab,21,37,28,86
38,Langgawisan,Maragusan,19,39,27,85
81,Tubo-tubo,Monkayo,34,19,32,85
108,New Cebulan (Sambayon),Montevista,34,19,32,85
126,Bantacan,New Bataan,27,28,29,84
82,Union,Monkayo,25,23,35,83
127,Batinao,New Bataan,23,29,31,83
226,Sisimon,Laak,36,20,27,83
133,Katipunan,New Bataan,19,26,38,83
50,Pamintaran,Maragusan,17,28,37,82
74,Olaycon,Monkayo,33,18,31,82
337,Sawangan,Mawab,29,35,18,82
330,Concepcion,Mawab,24,40,17,81
71,Mamunga,Monkayo,33,17,30,80
97,Bankerohan Sur,Montevista,37,24,19,80
338,Tuboran,Mawab,22,33,25,80
137,Pagsabangan,New Bataan,20,29,31,80
12,Poblacion,Compostela,26,27,26,79
9,Ngan,Compostela,26,25,27,78
1,Aurora,Compostela,30,25,23,78
2,Bagongon,Compostela,29,28,20,77
64,Babag,Monkayo,30,21,26,77
73,Naboc,Monkayo,25,27,24,76
128,Cabinuangan (Poblacion),New Bataan,23,28,25,76
15,Siocon,Compostela,28,25,23,76
7,Maparat,Compostela,31,21,24,76
65,Banlag,Monkayo,33,28,15,76
69,Inambatan,Monkayo,30,19,27,76
188,Amor Cruz,Laak,20,29,27,76
335,Salvacion,Mawab,26,29,21,76
63,Awao,Monkayo,21,22,32,75
78,Salvacion,Monkayo,19,32,24,75
136,Manurigao,New Bataan,22,27,26,75
198,Concepcion,Laak,23,15,37,75
5,Mangayon,Compostela,30,21,23,74
329,Bawani,Mawab,23,28,23,74
328,Andili,Mawab,25,24,25,74
94,Banagbanag,Montevista,32,19,23,74
13,San Jose,Compostela,22,28,24,74
8,New Alegria,Compostela,29,23,21,73
158,Basak,Nabunturan,22,23,28,73
180,Santa Maria,Nabunturan,28,23,22,73
80,San Jose,Monkayo,21,23,29,73
135,Magsaysay,New Bataan,23,23,26,72
140,Tandawan,New Bataan,20,25,27,72
110,New Eagle,Montevista,26,30,16,72
72,Mount Diwata,Monkayo,27,19,25,71
103,Kapatagan,Montevista,29,23,19,71
99,Camantangan,Montevista,24,23,24,71
221,Panamoren,Laak,27,19,25,71
16,Tamia,Compostela,20,20,31,71
129,Camanlangan,New Bataan,14,29,27,70
3,Gabi,Compostela,30,18,21,69
165,Linda,Nabunturan,29,22,18,69
14,San Miguel,Compostela,22,21,26,69
138,Panag,New Bataan,24,22,23,69
196,Bullucan,Laak,23,18,28,69
66,Baylo,Monkayo,23,28,18,69
280,Limbo,Maco,28,20,20,68
130,Cogonon,New Bataan,21,18,29,68
131,Fatima,New Bataan,24,29,15,68
70,Macopa,Monkayo,30,20,18,68
290,New Leyte,Maco,32,18,17,67
109,New Dalaguete,Montevista,21,20,26,67
214,Mabuhay,Laak,19,21,27,67
105,Linoan,Montevista,22,28,17,67
163,Katipunan,Nabunturan,24,21,22,67
113,San Jose,Montevista,28,24,14,66
166,Magading,Nabunturan,22,28,16,66
164,Libasan,Nabunturan,25,25,16,66
159,Bayabas,Nabunturan,30,23,13,66
269,Bucana,Maco,26,19,21,66
107,New Calape,Montevista,25,24,17,66
202,El Katipunan,Laak,30,19,16,65
10,Osmeña,Compostela,27,19,18,64
96,Bankerohan Norte,Montevista,30,20,14,64
294,Panoraon,Maco,20,19,25,64
199,Datu Ampunan,Laak,28,17,19,64
76,Poblacion,Monkayo,23,20,21,64
207,Kapatagan,Laak,30,16,18,64
83,Upper Ulip,Monkayo,24,23,16,63
157,Antiquera,Nabunturan,22,23,18,63
293,Panibasan,Maco,25,18,20,63
67,Casoon,Monkayo,22,24,17,63
117,Poblacion,Montevista,19,19,25,63
111,New Visayas,Montevista,22,23,18,63
11,Panansalan,Compostela,27,22,14,63
156,Anislagan,Nabunturan,22,24,17,63
98,Camansi,Montevista,24,21,17,62
167,Magsaysay,Nabunturan,17,30,15,62
160,Bukal,Nabunturan,23,20,19,62
193,Banbanon,Laak,27,18,17,62
194,Belmonte,Laak,25,19,18,62
224,Santa Emilia,Laak,24,20,18,62
205,Inacayan,Laak,19,21,22,62
102,Dauman,Montevista,17,23,21,61
104,Lebanon,Montevista,20,19,22,61
114,San Vicente,Montevista,23,19,18,60
181,Santo Niño (Kao),Nabunturan,29,12,19,60
209,Kilagding,Laak,22,15,23,60
182,Sasa,Nabunturan,18,23,19,60
190,Andap,Laak,24,15,21,60
68,Haguimitan,Monkayo,21,17,22,60
106,Mayaon,Montevista,20,19,21,60
