municipality_name,date,temp_mean_c,temp_min_c,temp_max_c,humidity_mean_pct,rainfall_sum_mm
Nabunturan,2023-01-01,23.90,21.80,25.60,92.00,14.60
Nabunturan,2023-01-02,24.20,23.00,26.20,92.00,53.90
Nabunturan,2023-01-03,24.60,22.40,28.50,90.00,33.90
Nabunturan,2023-01-04,24.90,22.90,27.20,91.00,8.00
Nabunturan,2023-01-05,25.20,23.00,30.50,89.00,16.00
Nabunturan,2023-01-06,25.90,22.90,31.30,83.00,2.20
Nabunturan,2023-01-07,23.90,22.80,25.10,93.00,33.20
Nabunturan,2023-01-08,23.90,22.40,26.20,90.00,17.00
Nabunturan,2023-01-09,24.70,23.00,26.90,90.00,10.70
Nabunturan,2023-01-10,24.90,22.90,27.40,89.00,9.60
Nabunturan,2023-01-11,25.10,22.80,28.90,89.00,15.80
Nabunturan,2023-01-12,24.70,23.00,27.00,91.00,9.10
Nabunturan,2023-01-13,25.50,23.00,29.50,88.00,8.10
Nabunturan,2023-01-14,24.70,23.20,27.40,92.00,22.90
Nabunturan,2023-01-15,25.60,23.20,30.50,89.00,8.00
Nabunturan,2023-01-16,25.50,22.60,30.70,89.00,7.30
Nabunturan,2023-01-17,25.50,22.40,30.80,88.00,12.10
Nabunturan,2023-01-18,25.50,21.60,30.90,88.00,14.70
Nabunturan,2023-01-19,26.20,22.60,31.60,84.00,3.50
Nabunturan,2023-01-20,26.10,23.10,30.10,82.00,0.50
Nabunturan,2023-01-21,25.00,22.90,28.90,87.00,15.90
Nabunturan,2023-01-22,23.70,22.60,25.20,93.00,51.10
Nabunturan,2023-01-23,24.60,22.60,27.90,90.00,30.10
Nabunturan,2023-01-24,24.90,22.90,29.00,89.00,30.80
Nabunturan,2023-01-25,24.50,22.60,27.40,85.00,9.00
Nabunturan,2023-01-26,24.70,22.60,27.30,88.00,22.30
Nabunturan,2023-01-27,25.40,23.00,30.50,88.00,6.80
Nabunturan,2023-01-28,26.40,22.90,31.50,81.00,0.30
Nabunturan,2023-01-29,24.70,23.20,27.40,89.00,16.30
Nabunturan,2023-01-30,25.20,23.00,29.10,90.00,16.70
Nabunturan,2023-01-31,25.80,22.90,29.80,87.00,1.20
Nabunturan,2023-02-01,26.30,23.00,31.80,81.00,0.50
Nabunturan,2023-02-02,26.30,23.10,30.90,81.00,2.90
Nabunturan,2023-02-03,26.20,23.00,30.70,80.00,0.40
Nabunturan,2023-02-04,25.20,22.80,28.70,87.00,11.40
Nabunturan,2023-02-05,24.70,22.20,29.00,89.00,24.40
Nabunturan,2023-02-06,25.40,22.60,29.90,85.00,9.30
Nabunturan,2023-02-07,25.30,22.90,29.80,85.00,3.80
Nabunturan,2023-02-08,24.80,22.50,29.00,85.00,4.10
Nabunturan,2023-02-09,25.30,22.10,29.80,84.00,2.70
Nabunturan,2023-02-10,25.80,22.00,31.40,81.00,1.00
Nabunturan,2023-02-11,26.00,22.80,29.90,82.00,2.00
Nabunturan,2023-02-12,26.10,23.20,31.00,79.00,1.60
Nabunturan,2023-02-13,24.60,23.20,25.80,90.00,10.30
Nabunturan,2023-02-14,24.40,22.90,27.10,92.00,60.70
Nabunturan,2023-02-15,25.30,22.90,29.20,86.00,40.50
Nabunturan,2023-02-16,25.20,22.90,29.20,85.00,8.10
Nabunturan,2023-02-17,24.20,23.00,25.80,89.00,10.20
Nabunturan,2023-02-18,25.40,23.10,30.00,87.00,37.40
Nabunturan,2023-02-19,26.40,22.50,31.00,82.00,0.10
Nabunturan,2023-02-20,26.10,22.80,31.10,85.00,11.10
Nabunturan,2023-02-21,25.80,22.80,31.60,88.00,25.10
Nabunturan,2023-02-22,25.40,22.50,31.50,88.00,12.90
Nabunturan,2023-02-23,27.00,23.00,32.20,80.00,1.00
Nabunturan,2023-02-24,26.40,22.50,30.80,83.00,2.40
Nabunturan,2023-02-25,26.40,23.10,32.50,82.00,2.20
Nabunturan,2023-02-26,26.10,23.20,29.70,82.00,2.00
Nabunturan,2023-02-27,26.60,23.10,31.20,79.00,0.60
Nabunturan,2023-02-28,26.30,23.20,30.80,82.00,2.30
Nabunturan,2023-03-01,26.20,23.00,31.20,84.00,6.00
Nabunturan,2023-03-02,25.30,22.70,29.60,83.00,4.00
Nabunturan,2023-03-03,25.40,21.00,29.80,77.00,0.00
Nabunturan,2023-03-04,24.80,23.00,27.00,86.00,8.30
Nabunturan,2023-03-05,26.10,22.30,30.70,81.00,2.80
Nabunturan,2023-03-06,25.30,20.70,30.10,84.00,3.70
Nabunturan,2023-03-07,25.00,22.80,28.00,87.00,7.70
Nabunturan,2023-03-08,26.60,22.60,31.80,80.00,0.50
Nabunturan,2023-03-09,26.30,23.20,30.50,81.00,1.70
Nabunturan,2023-03-10,26.70,21.60,31.70,76.00,0.00
Nabunturan,2023-03-11,26.30,21.90,31.80,78.00,1.80
Nabunturan,2023-03-12,25.80,22.40,29.50,83.00,5.50
Nabunturan,2023-03-13,25.20,22.90,29.40,86.00,20.60
Nabunturan,2023-03-14,23.90,22.80,26.30,90.00,13.20
Nabunturan,2023-03-15,26.10,21.50,31.90,81.00,1.20
Nabunturan,2023-03-16,25.80,22.20,31.00,86.00,11.60
Nabunturan,2023-03-17,26.20,23.40,31.20,84.00,3.50
Nabunturan,2023-03-18,25.70,23.00,30.50,86.00,5.40
Nabunturan,2023-03-19,26.40,23.00,31.50,85.00,12.50
Nabunturan,2023-03-20,26.90,23.40,31.50,78.00,0.20
Nabunturan,2023-03-21,26.90,22.10,32.80,76.00,0.00
Nabunturan,2023-03-22,26.40,21.50,31.00,80.00,0.60
Nabunturan,2023-03-23,25.80,21.30,31.50,85.00,13.40
Nabunturan,2023-03-24,26.50,22.50,31.80,86.00,9.60
Nabunturan,2023-03-25,27.00,23.60,31.50,81.00,2.10
Nabunturan,2023-03-26,27.40,23.40,32.20,78.00,0.70
Nabunturan,2023-03-27,26.60,23.40,31.10,81.00,4.70
Nabunturan,2023-03-28,25.90,23.80,29.50,85.00,27.50
Nabunturan,2023-03-29,25.30,22.50,30.10,88.00,14.00
Nabunturan,2023-03-30,25.90,22.90,30.50,87.00,34.80
Nabunturan,2023-03-31,25.30,22.80,28.30,89.00,11.30
Nabunturan,2023-04-01,25.30,22.80,30.50,89.00,9.10
Nabunturan,2023-04-02,25.70,23.20,30.30,88.00,15.90
Nabunturan,2023-04-03,26.00,22.00,31.10,85.00,3.10
Nabunturan,2023-04-04,26.20,20.80,31.80,78.00,0.40
Nabunturan,2023-04-05,25.60,22.50,30.30,85.00,15.40
Nabunturan,2023-04-06,26.80,22.60,31.20,76.00,0.50
Nabunturan,2023-04-07,26.70,22.40,32.20,78.00,0.20
Nabunturan,2023-04-08,26.70,23.60,31.50,80.00,3.40
Nabunturan,2023-04-09,26.00,23.20,31.00,84.00,8.30
Nabunturan,2023-04-10,25.70,21.80,29.10,84.00,1.70
Nabunturan,2023-04-11,26.60,22.20,32.20,81.00,0.70
Nabunturan,2023-04-12,27.70,24.00,32.90,76.00,0.20
Nabunturan,2023-04-13,27.70,24.50,32.50,81.00,1.50
Nabunturan,2023-04-14,26.80,24.00,30.90,85.00,7.70
Nabunturan,2023-04-15,26.30,23.80,31.70,88.00,17.00
Nabunturan,2023-04-16,26.40,22.50,33.00,85.00,0.80
Nabunturan,2023-04-17,26.40,23.20,31.90,86.00,12.60
Nabunturan,2023-04-18,26.90,22.20,32.30,82.00,0.60
Nabunturan,2023-04-19,27.20,21.90,32.50,82.00,0.50
Nabunturan,2023-04-20,27.40,24.40,32.10,82.00,0.70
Nabunturan,2023-04-21,26.60,24.00,32.30,85.00,4.50
Nabunturan,2023-04-22,26.50,23.80,33.00,85.00,12.30
Nabunturan,2023-04-23,26.70,22.90,32.00,85.00,3.10
Nabunturan,2023-04-24,27.70,23.40,32.70,79.00,0.40
Nabunturan,2023-04-25,27.60,21.90,33.70,75.00,0.00
Nabunturan,2023-04-26,27.50,21.80,32.80,74.00,0.50
Nabunturan,2023-04-27,27.30,21.70,31.80,78.00,3.60
Nabunturan,2023-04-28,28.70,24.00,34.00,71.00,0.30
Nabunturan,2023-04-29,27.20,24.70,32.30,82.00,18.50
Nabunturan,2023-04-30,26.30,23.90,31.60,88.00,17.00
Nabunturan,2023-05-01,26.90,23.10,31.50,82.00,5.40
Nabunturan,2023-05-02,25.80,24.00,30.40,91.00,37.50
Nabunturan,2023-05-03,26.80,23.10,31.10,85.00,4.20
Nabunturan,2023-05-04,26.70,23.50,31.70,86.00,1.90
Nabunturan,2023-05-05,26.40,23.60,32.00,88.00,13.20
Nabunturan,2023-05-06,26.50,23.30,32.30,87.00,26.00
Nabunturan,2023-05-07,27.70,23.00,32.90,80.00,1.80
Nabunturan,2023-05-08,28.20,24.10,33.50,79.00,0.10
Nabunturan,2023-05-09,27.90,23.40,33.10,80.00,0.70
Nabunturan,2023-05-10,27.80,23.80,32.70,80.00,2.00
Nabunturan,2023-05-11,27.40,24.00,32.80,82.00,1.10
Nabunturan,2023-05-12,27.50,24.10,33.00,82.00,2.50
Nabunturan,2023-05-13,27.70,23.90,33.70,83.00,6.00
Nabunturan,2023-05-14,26.90,23.80,33.20,85.00,17.90
Nabunturan,2023-05-15,26.30,23.00,32.20,87.00,7.30
Nabunturan,2023-05-16,26.70,23.40,32.70,85.00,5.00
Nabunturan,2023-05-17,26.90,22.50,32.50,85.00,3.90
Nabunturan,2023-05-18,27.20,23.10,33.80,82.00,8.60
Nabunturan,2023-05-19,26.10,23.30,30.10,89.00,26.50
Nabunturan,2023-05-20,26.00,22.40,31.60,88.00,5.30
Nabunturan,2023-05-21,26.60,23.80,31.60,89.00,50.60
Nabunturan,2023-05-22,26.80,24.00,32.50,87.00,15.90
Nabunturan,2023-05-23,26.60,22.90,31.20,85.00,19.80
Nabunturan,2023-05-24,26.30,22.90,30.50,88.00,7.10
Nabunturan,2023-05-25,26.80,23.90,31.40,88.00,21.10
Nabunturan,2023-05-26,26.70,24.00,32.20,87.00,10.40
Nabunturan,2023-05-27,26.80,23.50,32.00,84.00,8.60
Nabunturan,2023-05-28,27.50,23.90,31.20,79.00,0.90
Nabunturan,2023-05-29,28.40,24.20,32.90,76.00,0.00
Nabunturan,2023-05-30,28.80,24.80,32.80,75.00,0.10
Nabunturan,2023-05-31,28.60,25.00,32.50,75.00,0.00
Nabunturan,2023-06-01,28.50,24.60,32.80,78.00,0.00
Nabunturan,2023-06-02,28.10,24.50,33.50,82.00,24.70
Nabunturan,2023-06-03,26.80,24.40,32.80,85.00,21.50
Nabunturan,2023-06-04,26.60,23.80,31.90,87.00,54.30
Nabunturan,2023-06-05,26.60,23.80,31.60,88.00,33.90
Nabunturan,2023-06-06,26.10,23.80,31.50,89.00,42.30
Nabunturan,2023-06-07,26.60,23.50,31.30,87.00,9.00
Nabunturan,2023-06-08,26.80,23.50,31.80,87.00,15.30
Nabunturan,2023-06-09,27.30,24.00,32.20,85.00,5.20
Nabunturan,2023-06-10,27.80,24.20,32.30,82.00,2.50
Nabunturan,2023-06-11,27.60,23.20,32.30,82.00,2.20
Nabunturan,2023-06-12,27.60,23.90,32.50,84.00,4.10
Nabunturan,2023-06-13,26.90,23.40,33.00,84.00,8.00
Nabunturan,2023-06-14,26.40,24.50,31.20,85.00,15.00
Nabunturan,2023-06-15,26.40,23.40,30.00,87.00,11.40
Nabunturan,2023-06-16,25.80,23.80,30.20,89.00,13.70
Nabunturan,2023-06-17,25.80,23.10,30.70,89.00,6.10
Nabunturan,2023-06-18,26.40,23.50,31.00,87.00,2.90
Nabunturan,2023-06-19,25.80,23.50,30.50,89.00,26.50
Nabunturan,2023-06-20,26.00,23.10,30.80,88.00,20.70
Nabunturan,2023-06-21,25.70,22.60,30.40,88.00,13.40
Nabunturan,2023-06-22,25.60,23.60,27.90,90.00,5.20
Nabunturan,2023-06-23,26.30,23.90,29.50,87.00,2.60
Nabunturan,2023-06-24,26.10,23.10,31.40,88.00,18.70
Nabunturan,2023-06-25,25.50,22.80,30.80,88.00,17.10
Nabunturan,2023-06-26,26.40,22.60,31.70,87.00,7.80
Nabunturan,2023-06-27,27.30,23.50,31.50,83.00,5.60
Nabunturan,2023-06-28,26.50,23.60,32.20,87.00,28.20
Nabunturan,2023-06-29,26.00,22.50,31.80,87.00,24.20
Nabunturan,2023-06-30,26.40,23.00,31.30,86.00,4.20
Nabunturan,2023-07-01,26.70,23.60,31.00,87.00,14.40
Nabunturan,2023-07-02,27.00,24.20,30.90,86.00,3.30
Nabunturan,2023-07-03,25.80,24.40,28.90,90.00,5.50
Nabunturan,2023-07-04,25.80,24.00,29.50,89.00,16.90
Nabunturan,2023-07-05,26.50,23.40,30.40,87.00,0.60
Nabunturan,2023-07-06,27.00,25.00,32.50,86.00,5.90
Nabunturan,2023-07-07,27.20,24.20,32.20,84.00,0.50
Nabunturan,2023-07-08,26.10,23.50,30.40,88.00,9.30
Nabunturan,2023-07-09,25.80,22.90,31.10,89.00,28.40
Nabunturan,2023-07-10,26.20,22.60,31.70,86.00,14.60
Nabunturan,2023-07-11,26.70,23.40,31.90,86.00,32.60
Nabunturan,2023-07-12,26.60,23.50,29.60,85.00,4.80
Nabunturan,2023-07-13,27.30,23.80,31.60,80.00,2.90
Nabunturan,2023-07-14,27.80,23.50,32.20,78.00,0.20
Nabunturan,2023-07-15,28.30,24.10,32.50,76.00,0.30
Nabunturan,2023-07-16,27.70,23.60,32.00,80.00,1.90
Nabunturan,2023-07-17,27.10,24.10,30.50,84.00,34.90
Nabunturan,2023-07-18,24.70,23.20,26.30,92.00,15.50
Nabunturan,2023-07-19,25.30,23.00,29.20,88.00,8.00
Nabunturan,2023-07-20,26.40,23.00,31.60,85.00,7.00
Nabunturan,2023-07-21,27.20,22.90,31.90,81.00,0.20
Nabunturan,2023-07-22,27.00,23.40,31.20,82.00,1.40
Nabunturan,2023-07-23,27.90,24.80,31.50,73.00,0.00
Nabunturan,2023-07-24,27.80,25.30,31.20,74.00,0.10
Nabunturan,2023-07-25,28.30,26.00,31.70,73.00,0.30
Nabunturan,2023-07-26,27.40,23.50,32.00,78.00,0.00
Nabunturan,2023-07-27,27.80,24.40,31.60,76.00,0.30
Nabunturan,2023-07-28,26.90,24.50,31.10,84.00,3.40
Nabunturan,2023-07-29,27.00,24.00,31.60,83.00,0.80
Nabunturan,2023-07-30,27.80,24.10,32.20,79.00,0.20
Nabunturan,2023-07-31,27.60,22.80,33.10,79.00,0.00
Nabunturan,2023-08-01,27.70,23.00,32.80,78.00,0.00
Nabunturan,2023-08-02,27.90,23.60,32.60,75.00,0.00
Nabunturan,2023-08-03,28.20,23.60,33.10,76.00,0.50
Nabunturan,2023-08-04,28.40,23.80,34.20,78.00,2.00
Nabunturan,2023-08-05,28.40,24.10,34.10,80.00,3.00
Nabunturan,2023-08-06,27.80,24.60,33.00,82.00,4.30
Nabunturan,2023-08-07,28.00,24.30,33.50,79.00,2.80
Nabunturan,2023-08-08,28.50,24.40,34.00,75.00,6.60
Nabunturan,2023-08-09,26.70,23.60,33.30,84.00,11.00
Nabunturan,2023-08-10,26.40,23.50,31.70,88.00,18.90
Nabunturan,2023-08-11,26.80,23.50,30.90,85.00,11.90
Nabunturan,2023-08-12,26.50,23.10,30.90,86.00,7.60
Nabunturan,2023-08-13,26.80,24.10,31.60,86.00,14.70
Nabunturan,2023-08-14,26.40,23.20,30.50,88.00,5.80
Nabunturan,2023-08-15,26.50,24.20,30.20,87.00,11.60
Nabunturan,2023-08-16,26.20,23.60,30.80,88.00,11.80
Nabunturan,2023-08-17,26.40,23.50,30.70,88.00,3.70
Nabunturan,2023-08-18,26.50,23.30,32.00,87.00,16.20
Nabunturan,2023-08-19,26.20,23.20,31.20,88.00,27.70
Nabunturan,2023-08-20,25.70,22.50,31.00,89.00,41.60
Nabunturan,2023-08-21,25.60,22.80,30.00,90.00,28.80
Nabunturan,2023-08-22,26.10,23.50,30.40,88.00,14.40
Nabunturan,2023-08-23,26.50,22.80,30.40,84.00,3.50
Nabunturan,2023-08-24,26.80,23.20,32.50,83.00,8.40
Nabunturan,2023-08-25,26.40,22.50,31.60,87.00,3.40
Nabunturan,2023-08-26,27.00,23.10,32.10,85.00,4.90
Nabunturan,2023-08-27,27.40,23.30,32.40,80.00,0.10
Nabunturan,2023-08-28,28.30,25.50,32.00,73.00,0.30
Nabunturan,2023-08-29,28.30,24.80,32.70,74.00,3.20
Nabunturan,2023-08-30,28.20,24.20,33.00,75.00,0.00
Nabunturan,2023-08-31,28.30,24.00,33.10,77.00,0.00
Nabunturan,2023-09-01,28.60,24.60,33.40,75.00,0.90
Nabunturan,2023-09-02,28.60,24.40,33.20,73.00,0.10
Nabunturan,2023-09-03,28.40,24.10,33.20,75.00,7.00
Nabunturan,2023-09-04,28.10,24.60,33.60,79.00,0.70
Nabunturan,2023-09-05,27.40,23.70,33.40,83.00,5.30
